date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:42	227/227	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Feb%202018%2020:38:43%20GMT	http://hub.yourtakeonscience.com/robots.txt		(from http://www.obelisk.me.uk/6502/)
18:38:42	405/405	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:43%20GMT	http://t.webring.com/wrman?ring=6502webring&addsite	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.com/wrman.1d8076.delayed	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:43	718/718	---M-Z	200	added ('OK')	image/png	etag:%22141b53-2ce-4e2acfba528c0%22	http://img1.webring.org/images/quote.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.org/images/quote.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:43	288/288	---M-Z	200	added ('OK')	image/png	etag:%22141a1f-120-4e2acfba528c0%22	http://img1.webring.org/images/body_bg_12.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.org/images/body_bg_12.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:44	315/315	---M-Z	200	added ('OK')	image/png	etag:%22141bda-13b-4e2acfba528c0%22	http://img1.webring.org/images/header_wr2_bg.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.org/images/header_wr2_bg.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:45	1403/1403	---M-Z	200	added ('OK')	image/png	etag:%22141c7b-57b-4e2acfba528c0%22	http://img1.webring.org/images/search_hi.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.org/images/search_hi.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:45	1677/1677	---M-Z	200	added ('OK')	image/png	etag:%22141bf6-68d-4e2acfba528c0%22	http://img1.webring.org/images/SearchBarButton.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.org/images/SearchBarButton.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:46	2695/2695	---M-Z	200	added ('OK')	image/png	etag:%22141a39-a87-4e74ecc20a740%22	http://img1.webring.com/images/speech.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.com/images/speech.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:47	1436/1436	---M-Z	200	added ('OK')	image/png	etag:%22141a2c-59c-4e2acfba528c0%22	http://img1.webring.com/images/LoginIcon.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.com/images/LoginIcon.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
18:38:47	19962/19962	---M-Z	200	added ('OK')	image/png	etag:%2214155a-4dfa-543663051853b%22	http://img1.webring.com/webringlogo.png	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img1.webring.com/webringlogo.png	(from http://hub.yourtakeonscience.com/hub/6502webring)
